year	affected cell IDs (list)
23	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
24	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
25	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
26	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
27	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
28	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
29	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
30	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
31	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
32	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
33	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
34	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
35	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
36	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
37	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
38	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
39	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
40	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
41	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
42	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
43	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
44	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
45	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
46	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
47	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
48	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
49	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
50	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
51	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
52	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
53	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
54	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
55	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
56	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
57	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
58	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
59	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
60	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
61	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
62	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
63	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
64	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
65	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
66	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
67	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
68	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
69	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
70	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
71	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
72	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
73	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
74	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
75	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
76	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
77	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
78	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
79	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
80	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
81	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
82	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
83	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
84	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
85	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
86	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
87	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
88	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
89	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
90	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
91	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
92	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
93	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
94	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
95	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
96	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
97	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
98	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
99	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
100	[455, 429, 371, 255, 271, 408, 204, 359, 390, 413, 159, 471, 185, 437, 235, 202, 521, 274, 410, 482, 71, 372, 54, 9, 305, 121, 211, 539]
